Initials ,Date,Course_id,Time (m),Summary 
MZ,9/5/23,DS-160 ,75,Class
MZ,9/5/23,ECON-410,75,Class
MZ,9/5/23,DS-300,75,Class
MZ,9/5/23,DS-300,60,Group HW
MZ,9/5/23,MATH-430,60,Group HW
MZ,9/5/23,BUSA-245,50,Chapter reading
MZ,9/6/23,BUSA-245,75,Class
MZ,9/6/23,MATH-430,75,Class
MZ,9/6/23,DS-300,60,Group HW
MZ,9/6/23,DS-160 ,120,Podcast Summary
MZ,9/7/23,DS-160 ,75,Class
MZ,9/7/23,ECON-410,75,Class
MZ,9/7/23,DS-300,75,Class
MZ,9/8/23,BUSA-245,240,HW & Ch. Reading
MZ,9/9/23,BUSA-245,50,HW & Ch. Reading
MZ,9/9/23,ECON-410,50,Review + Ch. Reading
MZ,9/10/23,MATH-430,170,Review + Ch. Reading
MZ,9/11/23,BUSA-245,75,Class
MZ,9/11/23,MATH-430,75,Class
MZ,9/11/23,DS-160 ,50,Pandas Practice Problems
MZ,9/11/23,Unset ,100,Other
MZ,9/11/23,BUSA-245,50,Chapter reading 
MZ,9/12/23,DS-160 ,75,Class
MZ,9/12/23,ECON-410,75,Class
MZ,9/12/23,DS-300,75,Class
MZ,9/12/23,DS-300,100,Chapter reading
MZ,9/12/23,BUSA-245,50,HW 
MZ,9/13/23,BUSA-245,75,Class
MZ,9/13/23,MATH-430,75,Class
MZ,9/13/23,DS-300,85,Chapter reading
MZ,9/14/23,DS-160 ,75,Class
MZ,9/14/23,ECON-410,75,Class
MZ,9/14/23,DS-300,75,Class
MZ,9/14/23,Unset ,30,Other
MZ,9/15/23,DS-300,120,Group HW
MZ,9/15/23,MATH-430,50,Chapter reading
MZ,9/15/23,BUSA-245,40,Chapter reading
MZ,9/16/23,MATH-430,100,Chapter reading
MZ,9/17/23,ECON-410,100,Chapter reading
MZ,9/18/23,BUSA-245,75,Class
MZ,9/18/23,MATH-430,75,Class
MZ,9/18/23,DS-160 ,75,Review
MZ,9/19/23,DS-160 ,75,Class
MZ,9/19/23,ECON-410,75,Class
MZ,9/19/23,DS-300,75,Class
MZ,9/19/23,BUSA-245,135,Chapter reading
MZ,9/19/23,DS-300,50,Group HW
MZ,9/19/23,ECON-410,50,Chapter reading
MZ,9/19/23,DS-160 ,30,Review + Updating Excel sheet
MZ,9/20/23,BUSA-245,75,Class
MZ,9/20/23,MATH-430,75,Class
MZ,9/20/23,ECON-410,140,Studying for quiz
MZ,9/21/23,ECON-410,200,Studying for quiz + chapter reading
MZ,9/21/23,DS-160 ,75,Class
MZ,9/21/23,ECON-410,75,Class
MZ,9/21/23,DS-300,75,Class
MZ,9/22/23,BUSA-245,75,Chapter reading
MZ,9/22/23,ECON-410,50,Chapter reading
MZ,9/23/23,BUSA-245,60,HW & Ch. Reading
MZ,9/23/23,ECON-410,50,Chapter reading
MZ,9/25/23,BUSA-245,75,Class
MZ,9/25/23,MATH-430,75,Class
MZ,9/25/23,ECON-410,110,Chapter reading
MZ,9/26/23,DS-160 ,75,Class
MZ,9/26/23,ECON-410,75,Class
MZ,9/26/23,DS-300,75,Class
MZ,9/26/23,DS-160 ,50,Review + Updating Excel sheet
MZ,9/26/23,ECON-410,110,Studying for test
MZ,9/27/23,BUSA-245,75,Class
MZ,9/27/23,MATH-430,75,Class
MZ,9/27/23,ECON-410,265,Studying for test
MZ,9/28/23,DS-160 ,75,Class
MZ,9/28/23,ECON-410,75,Class
MZ,9/28/23,DS-300,75,Class
MZ,9/28/23,ECON-410,255,Studying for test
MZ,9/29/23,BUSA-245,155,Review + Studying for test
MZ,9/29/23,Unset ,50,Other
MZ,9/30/23,MATH-430,230,Review + Studying for test
MZ,10/2/23,BUSA-245,75,Class
MZ,10/2/23,MATH-430,75,Class
MZ,10/2/23,DS-300,150,Review + Studying for test
MZ,10/3/23,DS-160 ,75,Class
MZ,10/3/23,ECON-410,75,Class
MZ,10/3/23,DS-300,75,Class
MZ,10/3/23,DS-300,125,Review + Studying for test
MZ,10/4/23,BUSA-245,75,Class
MZ,10/4/23,MATH-430,75,Class
MZ,10/4/23,MATH-430,185,Review + Studying for test
MZ,10/4/23,BUSA-245,150,Review + Studying for test
MZ,10/5/23,DS-160 ,75,Class
MZ,10/5/23,ECON-410,75,Class
MZ,10/5/23,DS-300,75,Class
MZ,10/5/23,BUSA-245,95,HW 
MZ,10/5/23,DS-160 ,55,Finish Class time sheet notebook
MZ,10/5/23,ECON-410,40,HW 
MZ,10/6/23,ECON-410,180,Chapter reading
MZ,10/7/23,ECON-410,240,Chapter reading
MZ,10/9/23,BUSA-245,75,Class
MZ,10/9/23,MATH-430,75,Class
MZ,10/9/23,MATH-430,120,Group HW
MZ,10/10/23,DS-160 ,75,Class
MZ,10/10/23,ECON-410,75,Class
MZ,10/10/23,DS-300,75,Class
MZ,10/10/23,DS-300,120,Group HW
MZ,10/11/23,BUSA-245,75,Class
MZ,10/11/23,MATH-430,75,Class
MZ,10/11/23,BUSA-245,75,HW 
MZ,10/11/23,DS-160 ,50,Podcast Summary #2
MZ,10/11/23,DS-300,120,Group HW
MZ,10/12/23,DS-160 ,75,Class
MZ,10/12/23,ECON-410,75,Class
MZ,10/12/23,DS-300,75,Class
MZ,10/18/23,MATH-430,75,Group HW 
MZ,10/18/23,BUSA-245,75,Class
MZ,10/18/23,MATH-430,75,Class
MZ,10/19/23,DS-160 ,75,Class
MZ,10/19/23,ECON-410,75,Class
MZ,10/19/23,DS-300,75,Class
MZ,10/19/23,DS-160 ,50,Review
MZ,10/20/23,BUSA-245,100,HW 
MZ,10/20/23,DS-160 ,50,Started team 1 project
MZ,10/21/23,ECON-410,150,Worked on Mini lit review paper
MZ,10/21/23,DS-160 ,100,Worked on team 1 project
MZ,10/22/23,ECON-410,40,Worked on Mini lit review paper
MZ,10/22/23,DS-160 ,100,Worked on team 1 project
MZ,10/23/23,BUSA-245,75,Class
MZ,10/23/23,MATH-430,75,Class
MZ,10/23/23,ECON-410,230,Worked on Mini lit review paper
MZ,10/23/23,DS-160 ,190,Worked on team 1 project
MZ,10/24/23,DS-160 ,75,Class
MZ,10/24/23,ECON-410,75,Class
MZ,10/24/23,DS-300,75,Class
MZ,10/24/23,ECON-410,180,Worked on Mini lit review paper
MZ,10/25/23,BUSA-245,75,Class
MZ,10/25/23,MATH-430,75,Class
MZ,10/25/23,DS-160 ,150,Worked on powerpoint presentation
MZ,10/26/23,DS-160 ,75,Class
MZ,10/26/23,ECON-410,75,Class
MZ,10/26/23,DS-300,75,Class
MZ,10/26/23,BUSA-245,95,HW 
MZ,10/27/23,DS-160 ,120,Group HW
MZ,10/27/23,BUSA-245,100,Discussion post 
MZ,10/28/23,ECON-410,120,Computer Assignment #1 HW
MZ,10/28/23,BUSA-245,60,Took notes on chapter slides
MZ,10/29/23,ECON-410,120,Computer Assignment #1 HW
MZ,10/30/23,ECON-410,180,Computer Assignment #1 HW
MZ,10/30/23,BUSA-245,75,Class
MZ,10/30/23,MATH-430,75,Class
MZ,10/31/23,DS-160 ,60,Review
MZ,10/31/23,DS-160 ,75,Class
MZ,10/31/23,ECON-410,75,Class
MZ,10/31/23,DS-300,75,Class
MZ,11/1/23,Unset ,37,Other
MZ,11/1/23,BUSA-245,20,HW 
MZ,11/1/23,BUSA-245,75,Class
MZ,11/1/23,MATH-430,75,Class
MZ,11/2/23,Unset ,200,Other
MZ,11/2/23,DS-160 ,75,Class
MZ,11/2/23,ECON-410,75,Class
MZ,11/2/23,DS-300,75,Class
MZ,11/3/23,BUSA-245,50,HW 
MZ,11/4/23,ECON-410,190,Computer Assignment #2 HW
MZ,11/4/23,BUSA-245,40,HW 
MZ,11/5/23,ECON-410,190,Computer Assignment #2 HW
MZ,11/6/23,BUSA-245,75,Class
MZ,11/6/23,MATH-430,75,Class
MZ,11/6/23,DS-300,130,Studying for test
MZ,11/7/23,DS-300,75,Class
MZ,11/7/23,BUSA-245,75,Class
MZ,11/7/23,MATH-430,75,Class
MZ,11/7/23,ECON-410,280,Working on Data Set format
MZ,11/7/23,DS-300,170,Studying for test
MZ,11/7/23,ECON-410,280,Working on Data Set format
MZ,11/8/23,BUSA-245,75,Class
MZ,11/8/23,MATH-430,75,Class
MZ,11/8/23,DS-160 ,150,Worked on team 2 project
MZ,11/9/23,DS-300,75,Class
MZ,11/9/23,BUSA-245,75,Class
MZ,11/9/23,MATH-430,75,Class
MZ,11/9/23,Unset ,50,Other
MZ,11/9/23,DS-160 ,50,Worked on team 2 project
MZ,11/10/23,DS-160 ,200,Podcast Summary #3
MZ,11/11/23,MATH-430,195,Studying for test
MZ,11/12/23,BUSA-245,75,Class
MZ,11/12/23,MATH-430,75,Class
MZ,11/12/23,MATH-430,150,Studying for test
MZ,11/13/23,MATH-430,225,Studying for test
MZ,11/14/23,DS-300,75,Class
MZ,11/14/23,BUSA-245,75,Class
MZ,11/14/23,MATH-430,75,Class
MZ,11/14/23,DS-160 ,50,Updating Excel Sheet 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,